#This file is Chinese collocation file
#Lines start with # are comments and will be ignored
#This file is used to extract the check-point of S:Collocation in C2E task
#The format is: [Chiese word 1]~[Pos 1]:Relation:[Pos 2]~[Chinese word 2] [English parts]

哀愁~a:attr:n~阴影	sadness~of~shadow
碰到~v:obj:n~能力	meet~~ability
碰到~v:obj:n~墙	bump~~wall
碰到~v:obj:n~人	come~v:obj:n~man;encounter~v:obj:n~people;meet~v:obj:n~man;meet~v:obj:n~people
碰到~v:obj:n~尸体	touch~of~body
碰到~v:obj:n~事	come~near~finish
碰到~v:obj:n~天空	touch~v:obj:n~sky
碰到~v:obj:n~同志	find~v:obj:n~comrade
碰到~v:obj:n~痛苦	see~v:obj:n~trouble
碰到~v:obj:n~外国人	come~v:obj:n~foreigner
碰到~v:obj:n~屋顶	reach~v:obj:n~roof
碰到~v:obj:n~信	come~~letter
碰到~v:obj:n~星	touch~v:obj:n~star
碰到~v:obj:n~影响	meet~v:obj:n~effect
碰到~v:obj:n~阻碍	meet~v:obj:n~obstacle
碰见~a:attr:n~人	meet~~person
碰见~v:obj:n~姑娘	meet~v:obj:n~girl
碰见~v:obj:n~人	meet~v:obj:n~man
碰见~v:obj:n~熊	meet~v:obj:n~bear
碰了碰~v:obj:n~蓝图	touch~v:obj:n~sketch
碰落~v:obj:n~花荚	touch~~flower
碰巧~v:mods:d~参加	happen~~attend
碰巧~v:mods:d~兑	happen~~cash
碰巧~v:mods:d~看见	happen~~see
碰巧~v:mods:d~没有	happen~~nobody
碰巧~v:mods:d~听见	happen~~hear
碰巧~v:mods:d~外出	happen~~out
碰巧~v:mods:d~有	happen~~have
碰上~v:obj:n~用语	over~~idiom
碰一碰~a:attr:n~人	touch~~anyone
碰一碰~v:obj:n~制度	touch~v:obj:n~system
碰撞~a:attr:n~原因	collision~of~cause
碰撞~v:mods:d~逃逸出去	collision~~escape
碰撞~v:obj:n~月球	collision~~moon
批~v:obj:n~货物	wholesale~~goods
批~v:obj:n~青霉素	write~~penicillin
批量~v:mods:d~大	batch~~large
批判~a:attr:n~立场	critical~a:attr:n~position
批判~v:obj:n~父亲	criticize~v:obj:n~father
批判~v:obj:n~立场	critical~~position
批评~a:attr:n~焦点	criticism~~focus
批评~a:attr:n~人	critic~~no
批评~v:obj:n~董事长	criticize~~board
批评~v:obj:n~焦点	criticism~~focus
批评~v:obj:n~克制	criticism~~restrain
批评~v:obj:n~困难	criticism~~hard
批评~v:obj:n~要	criticism~~essential
批准~a:attr:n~法令	approve~~law
批准~a:attr:n~计划	approve~~plan
批准~v:obj:n~出版	authorize~v:obj:n~publication
批准~v:obj:n~法案	approve~v:obj:n~bill
批准~v:obj:n~计划	approve~v:obj:n~plan
批准~v:obj:n~记者	permit~v:obj:n~journalist
批准~v:obj:n~建议	approve~v:obj:n~proposal
批准~v:obj:n~扩大	authorize~v:obj:n~extension
批准~v:obj:n~提议	approve~v:obj:n~proposal
批准~v:obj:n~条约	approve the treaty;ratification~v:obj:n~treaty;ratify~v:obj:n~treaty
批准~v:obj:n~约	ratify~v:obj:n~treaty
批准~v:obj:n~租约	grant~v:obj:n~lease
披露出~v:obj:n~新闻	break~v:obj:n~news
披散~v:obj:n~要	distract~modals~will
劈~a:attr:n~能工巧匠	split~~can
劈~v:obj:n~柴禾	chop~v:obj:n~firewood
劈~v:obj:n~块	cut~v:obj:n~piece
劈~v:obj:n~木板	split~v:obj:n~board
劈~v:obj:n~石头	hew~v:obj:n~rock
劈成~v:obj:n~木头	chop~~wood
劈开~a:attr:n~木板	tear~~wood
劈开~v:obj:n~门	split~v:obj:n~door
劈开~v:obj:n~木板	tear~v:obj:n~wood
劈开~v:obj:n~脑袋	cleave~v:obj:n~skull
劈头~v:mods:d~骂	head~locn~curse
皮~v:mods:d~癌	skin~v:mods:d~cancer
皮~v:mods:d~沙发	leather~v:mods:d~sofa
皮~v:mods:d~毯子	fur~v:mods:d~rug
皮包骨头~v:mods:d~瘦	skin~to~pine
皮层~v:mods:d~细胞	cortex~of~cell
皮肤~v:mods:d~疾病	skin~of~disease
皮肤~v:mods:d~牵引法	skin~v:mods:d~traction
皮肤~v:mods:d~细胞	skin~v:mods:d~cell
皮肤~v:mods:d~象	complexion~tsub~like
皮脂~v:mods:d~混合物	sebum~v:mods:d~mixture
疲惫~a:attr:n~旅客	weary~a:attr:n~traveler
疲乏~a:attr:n~脑袋	tired~a:attr:n~head
疲乏~a:attr:n~心灵	tired~a:attr:n~heart
疲倦~a:attr:n~孩子	tired~a:attr:n~child
疲倦~a:attr:n~马	tired~a:attr:n~horse
疲倦~a:attr:n~人	tired~a:attr:n~man
疲劳~a:attr:n~理论	fatigue~of~theory
疲劳~a:attr:n~男孩	tired~a:attr:n~boy
疲劳~a:attr:n~强度	fatigue~v:mods:d~strength
疲劳~a:attr:n~准则	fatigue~in~criterion
疲软~a:attr:n~美元	weak~a:attr:n~dollar
啤酒~v:mods:d~瓶	beer~v:mods:d~bottle
琵琶~v:mods:d~弦	lute~of~string
脾~v:mods:d~区	spleen~of~region
脾气~v:obj:n~更坏	temper~a:attr:n~bad
僻静~a:attr:n~大道	silent~a:attr:n~highway
僻静~a:attr:n~地方	lonely~a:attr:n~place;quiet~a:attr:n~spot
僻静~a:attr:n~角落	quiet~a:attr:n~corner
僻静~a:attr:n~旅馆	lonely~a:attr:n~hotel
譬如说~v:mods:d~嫁给	now~~marry
譬喻~a:attr:n~表情	allusion~~look
譬喻~v:obj:n~表情	allusion~~look
片~v:mods:d~材料	film~~material
片断~v:mods:d~见解	snippet~~discharge
片断~v:mods:d~引语	fragmentary~a:attr:n~quotation
片刻~a:attr:n~怜悯	moment~duration~pity
片刻~v:mods:d~沉默	moment~~silence
片刻~v:mods:d~沉思	moment~duration~think
片刻~v:mods:d~默坐	moment~duration~silence
片刻~v:mods:d~停	moment~duration~pause
片刻~v:mods:d~悬空	moment~duration~hang
片刻~v:mods:d~只消	moment~~only
片刻~v:mods:d~注视	moment~~regard
偏~v:mods:d~要走	side~v:obj:n~take
偏爱~a:attr:n~孩子	favor~~child
偏爱~v:obj:n~独裁者	preference~for~authoritarian
偏爱~v:obj:n~儿子	favor~v:obj:n~son
偏爱~v:obj:n~学生	favor~v:obj:n~pupil
偏离~a:attr:n~方式	departure~v:mods:d~form
偏离~v:obj:n~标准	deviation~from~standard
偏离~v:obj:n~方向	be off direction;deviate the direction;deflect~~course
偏离~v:obj:n~数目	deviate~tsub~number
偏离~v:obj:n~位置	departure~from~position
偏离~v:obj:n~圆形	depart~v:obj:n~circular
偏离~v:obj:n~正道	right~~path
偏僻~a:attr:n~地	lonely~a:attr:n~field
偏僻~a:attr:n~国土	remote~a:attr:n~home
偏僻~a:attr:n~世界	remote~a:attr:n~world
偏向~v:obj:n~角	deviation~~angle
偏远~a:attr:n~地区	remote~a:attr:n~part;the remote area;the remote region
偏重~v:obj:n~奢侈品	bias~~luxury
翩翩起舞~a:attr:n~场所	dance~~place
骗~a:attr:n~钱	cheat~~money
骗~v:obj:n~寡妇	cheat~v:obj:n~widow
骗~v:obj:n~家	cheat~v:obj:n~family
骗~v:obj:n~眼睛	deceive~v:obj:n~eye
骗到~v:obj:n~钱	trick~~money
骗得了~v:obj:n~施舍	beguile~~charity
骗取~v:obj:n~姑娘	win~~girl
骗去~v:obj:n~积蓄	beguile~~saving
骗去~v:obj:n~苹果	trick~~apple
骗去~v:obj:n~钱	hoax~~money;trick~out~money
骗人~a:attr:n~诡计	man~~trick
骗人~a:attr:n~孩子	deceitful~a:attr:n~boy
骗走~v:obj:n~钱	bilk~~money
骗走~v:obj:n~项链	trick~~necklace
剽窃~v:obj:n~事实	steal~v:obj:n~fact
漂~v:obj:n~水面	drift~across~water
漂亮~a:attr:n~鼻子	pretty~a:attr:n~nose
漂亮~a:attr:n~船	handsome~a:attr:n~craft
漂亮~a:attr:n~东西	pretty~a:attr:n~thing
漂亮~a:attr:n~妇人	handsome~a:attr:n~woman
漂亮~a:attr:n~公子哥儿	smart~a:attr:n~beau
漂亮~a:attr:n~姑娘	a/the beautiful girl;a/the pretty girl;good-looking~a:attr:n~girl;handsome~a:attr:n~girl;pretty~a:attr:n~girl
漂亮~a:attr:n~孩子	handsome~a:attr:n~child
漂亮~a:attr:n~军礼	smart~a:attr:n~salute
漂亮~a:attr:n~裤子	smart~a:attr:n~trouser
漂亮~a:attr:n~脸蛋	a beautiful face;pretty~a:attr:n~face;pretty~~look
漂亮~a:attr:n~帽子	pretty~a:attr:n~hat
漂亮~a:attr:n~面孔	handsome~a:attr:n~face
漂亮~a:attr:n~面貌	handsome~a:attr:n~feature
漂亮~a:attr:n~女孩	pretty~a:attr:n~girl
漂亮~a:attr:n~女人	a/the pretty woman;pretty~a:attr:n~woman
漂亮~a:attr:n~上衣	pretty~~frock
漂亮~a:attr:n~少女	handsome~a:attr:n~girl
漂亮~a:attr:n~小伙子	handsome~~man
漂亮~a:attr:n~衣物	pretty~a:attr:n~thing
漂亮~a:attr:n~杂志	smart~~magazine
漂亮~v:mods:d~穿着	smart~v:mods:d~dress
漂流到~v:obj:n~神秘	float~~mystery
漂清~v:obj:n~衬衣	rinse~v:obj:n~shirt
漂洗液~v:mods:d~组成部分	rinse~~constituent
漂移出~v:obj:n~环	drift~out~torus
漂游~v:obj:n~岩石	float~tsub~rock
飘~v:obj:n~天空	drift~across~sky
飘出~v:obj:n~窗外	float~v:mods:d~out
飘荡~a:attr:n~渡船	swing~a:attr:n~boat
飘荡~a:attr:n~微风	wander~~breeze
飘荡~v:obj:n~渡船	swing~v:obj:n~boat
飘荡~v:obj:n~微风	wander~v:obj:n~breeze
飘动~a:attr:n~形状	move~~form
飘拂~v:obj:n~缎带	flutter~of~ribbon
飘浮~a:attr:n~积云	cloud~~cumulus
飘浮~a:attr:n~云雾	drift~~mist
飘浮~v:obj:n~云雾	drift~v:obj:n~mist
飘进~v:obj:n~小屋	flaunt~~little
飘来~v:obj:n~微风	come~~breeze
飘散~a:attr:n~树林	stroll~~forest
飘至~v:obj:n~各处	drift~v:obj:n~everywhere
撇取~v:obj:n~奶油	skim~v:obj:n~cream
撇下~v:obj:n~浮皮	skim~v:obj:n~scum
撇下~v:obj:n~姑娘	leave~v:obj:n~girl
撇下~v:obj:n~纸	leave~~paper
瞥~v:obj:n~世界	glimpse~into~world
瞥~v:obj:n~手表	glance~locn~watch
瞥~v:obj:n~停	glance~~pause
瞥~v:obj:n~丈夫	glance~locn~husband
瞥见~a:attr:n~表情	see~~expression
瞥见~v:obj:n~出路	glimpse~v:obj:n~way
瞥见~v:obj:n~老朋友	glimpse~possr~friend
瞥见~v:obj:n~闪光	see~v:obj:n~flash
瞥见~v:obj:n~尊容	sight~of~countenance
拼凑起来~v:mods:d~织成	together~v:mods:d~piece
拼错~v:obj:n~词	misspell~v:obj:n~word
拼错~v:obj:n~字	wrong~v:mods:d~word
拼接~a:attr:n~现场	splice~~field
拼命~v:mods:d~奔跑	life~v:obj:n~run
拼命~v:mods:d~抽	desperately~v:mods:d~lash
拼命~v:mods:d~抵抗	desperately~v:mods:d~resist
拼命~v:mods:d~呼吸	struggle~~breathe
拼命~v:mods:d~拉住	desperately~v:mods:d~haul
拼命~v:mods:d~想	desperately~v:mods:d~want
拼命~v:mods:d~战斗	desperately~v:mods:d~fight
拼死~v:mods:d~作战	death~to~fight
拼写~v:obj:n~词	spell~v:obj:n~word
拼写~v:obj:n~课	spell~v:obj:n~lesson
贫乏~a:attr:n~地区	deficient~~region
贫乏~a:attr:n~类型	poor~~type
贫乏~a:attr:n~幽灵	want~of~specter
贫苦~a:attr:n~村民	poor~possr~cottage
贫苦~a:attr:n~公民	poor~a:attr:n~citizen
贫苦~a:attr:n~农民	a/the poor farmer;poor~a:attr:n~farmer
贫苦~a:attr:n~人	poor~a:attr:n~man
贫困~a:attr:n~程度	poverty~of~level
贫困~a:attr:n~家庭	destitute~a:attr:n~family;poor~a:attr:n~family
贫困~a:attr:n~朋友	lean~a:attr:n~friend
贫困~a:attr:n~深渊	poverty~of~depth
贫困~a:attr:n~水平	poverty~of~level
贫困~a:attr:n~问题	poverty~v:mods:d~problem
贫困~a:attr:n~原因	poverty~of~cause
贫困~a:attr:n~滋味	poverty~of~taste
贫困~v:mods:d~生下来	poverty~to~bear
贫民~v:mods:d~阶级	poor~a:attr:n~class
贫民窟~v:mods:d~情况	slum~~condition
贫穷~a:attr:n~程度	poverty~of~extent
贫穷~a:attr:n~妇女	poor~a:attr:n~woman
贫穷~a:attr:n~姑娘	poor~a:attr:n~girl
贫穷~a:attr:n~饥饿	poor~tsub~starve
贫穷~a:attr:n~肯定	poverty~~sure
贫穷~a:attr:n~人民	poor~~people
贫穷~a:attr:n~生活	poverty~of~life
贫穷~a:attr:n~证据	poverty~to~witness
贫血~v:mods:d~血样	anemia~for~sample
频繁~a:attr:n~暴风雨	frequent~~squall
频繁~a:attr:n~接触	frequent~a:attr:n~contact
频繁~v:mods:d~变	frequent~v:obj:n~become
频繁~v:mods:d~调整	frequent~a:attr:n~adjustment
频繁~v:mods:d~使用	frequently~~use
频率~v:mods:d~变异	frequency~in~variation
频率~v:mods:d~表	frequency~v:mods:d~table
频率~v:mods:d~范围	frequency~v:mods:d~range
频率~v:mods:d~漂移	frequency~v:mods:d~drift
频率~v:mods:d~选择性	frequency~~selective
频频~v:mods:d~企图	frequently~v:mods:d~attempt
频谱~v:mods:d~范围	spectral~a:attr:n~range
频谱~v:mods:d~装置	spectrum~~configuration
品~a:attr:n~关税	goods~locn~tariff
品~v:obj:n~白兰地	savour~v:obj:n~brandy
品~v:obj:n~层	magenta~~layer
品~v:obj:n~关税	goods~~tariff
品尝~v:obj:n~食品	taste~v:obj:n~food
品质~v:mods:d~可疑	quality~about~doubt
品种~v:mods:d~芽	variety~~bud
品种~v:mods:d~种子	variety~~seed
乒乓球~v:mods:d~运动员	ping-pong~v:mods:d~player
平~v:mods:d~锉	smooth~~file
平~v:mods:d~加工	plane~~work
平~v:obj:n~捶	flat~~thump
平~v:obj:n~地上	level~~spot
平~v:obj:n~方程式	balance~v:obj:n~equation
平~v:obj:n~风格	plain~~style
平~v:obj:n~权	equal~~right
平~v:obj:n~市	level~v:obj:n~city
平安~v:mods:d~登陆	safe~v:obj:n~land
平安~v:mods:d~抵达	safe~a:attr:n~arrival
平安~v:mods:d~归来	safely~~come
平安~v:mods:d~回国	safely~v:mods:d~home
平安~v:mods:d~生下	safely~v:mods:d~deliver
平安~v:mods:d~送到	safety~~take
平安~v:mods:d~走开	safely~v:mods:d~away
平安无事~a:attr:n~时期	calm~a:attr:n~period
平板~a:attr:n~边界	slab~of~boundary
平板~a:attr:n~玻璃	flat~~glass;the flat glass
平板~a:attr:n~现实	flat~a:attr:n~reality
平常~a:attr:n~产品	homely~a:attr:n~product
平常~a:attr:n~妇人	plain~a:attr:n~woman
平常~a:attr:n~感情	commonplace~a:attr:n~sentiment
平常~a:attr:n~姑娘	plain~a:attr:n~girl
平常~a:attr:n~事	unusual~a:attr:n~occurrence
平常~v:mods:d~人	ordinary~a:attr:n~man
平淡~a:attr:n~答话	flat~tsub~reply
平淡~a:attr:n~故事	plain~a:attr:n~story
平淡~a:attr:n~眼睛	flat~~eye
平淡~a:attr:n~一次	quiet~~one
平等~a:attr:n~程度	inequality~of~degree
平等~a:attr:n~道路	equal~a:attr:n~access
平等~a:attr:n~观念	equality~of~notion;the idea of equality
平等~a:attr:n~机会	equal~a:attr:n~chance
平等~a:attr:n~基础	equality~of~basis
平等~a:attr:n~权利	equal~a:attr:n~right;the equal rights
平等~a:attr:n~思想	equality~of~idea
平等~a:attr:n~自然法	equal~~nature
平等~v:mods:d~对待	equality~~absolute;equal~a:attr:n~treatment;equal~~treat
平等~v:mods:d~分配	equally~v:mods:d~divide
平等~v:mods:d~教育	equal~a:attr:n~education
平等~v:mods:d~起步	equal~a:attr:n~start
平底~a:attr:n~表面	flat~~surface
平底~a:attr:n~布鞋	flat~a:attr:n~cloth
平动~v:mods:d~现象	libration~of~phenomenon
平凡~a:attr:n~风景	commonplace~a:attr:n~view
平凡~a:attr:n~面孔	commonplace~a:attr:n~face
平凡~a:attr:n~生活	an uneventful life;commonplace~~life
平凡~a:attr:n~世界	ordinary~a:attr:n~world
平凡~a:attr:n~事情	extraordinary~a:attr:n~thing
平方~v:mods:d~构成	square~~form
平衡~a:attr:n~常数	a/the balanced constant;equilibrium~v:mods:d~constant
平衡~a:attr:n~反应	equilibrium~~reaction
平衡~a:attr:n~方程	equilibrium~v:obj:n~equation;the balanced equation
平衡~a:attr:n~方程式	equilibrium~v:mods:d~equation
平衡~a:attr:n~改变	balance~v:mods:d~change;balance~v:obj:n~change
平衡~a:attr:n~概念	balance~of~concept
平衡~a:attr:n~关键	balance~to~key
平衡~a:attr:n~核力所	balance~~nucleus
平衡~a:attr:n~恢复	balance~v:obj:n~restore
平衡~a:attr:n~价格	mean~~price
平衡~a:attr:n~考虑	equilibrium~v:obj:n~consideration
平衡~a:attr:n~区域	equilibrium~~region
平衡~a:attr:n~趋势	equilibrium~~tendency
平衡~a:attr:n~顺序	equilibrium~~order
平衡~a:attr:n~条件	equilibrium~of~condition;the balanced condition
平衡~a:attr:n~形式	equilibrium~~form
平衡~a:attr:n~意义	disequilibrium~of~sense
平衡~a:attr:n~预算	balance~~budget
平衡~a:attr:n~状态	a/the balance;a/the equilibrium state;a/the state of equilibrium;equilibrium~v:mods:d~state;equilibrium~~phase
平衡~v:mods:d~保持	equilibrium~in~remain
平衡~v:mods:d~建立	balance~v:obj:n~make
平衡~v:obj:n~常数	equilibrium~~constant
平衡~v:obj:n~方程	equilibrium~~equation
平衡~v:obj:n~趋势	equilibrium~~tendency
平衡~v:obj:n~输出	balance~tsub~export
平衡~v:obj:n~位置	equilibrium~~position
平衡~v:obj:n~问题	equilibrium~~problem
平衡~v:obj:n~压力	equilibrium~~pressure
平衡~v:obj:n~意义	disequilibrium~~sense
平衡~v:obj:n~值	equilibrium~~value
平滑~a:attr:n~表面	smooth~~surface
平滑~a:attr:n~等值线	smooth~~contour
平滑~a:attr:n~曲线	smooth~a:attr:n~curve
平静~a:attr:n~表面	calm~a:attr:n~surface
平静~a:attr:n~海面	calm~~sea
平静~a:attr:n~空气	calm~a:attr:n~air
平静~a:attr:n~乐趣	tranquil~a:attr:n~enjoyment
平静~a:attr:n~面容	quiet~a:attr:n~face
平静~a:attr:n~生活	a quiet and peaceful life;quiet~a:attr:n~life
平静~a:attr:n~声音	quiet~a:attr:n~voice
平静~a:attr:n~外貌	calm~a:attr:n~exterior
平静~a:attr:n~物象	quiet~a:attr:n~object
平静~a:attr:n~心境	peace~~mind
平静~a:attr:n~心情	peace~~mind
平静~a:attr:n~语调	calm~a:attr:n~voice;calm~~tone
平静~a:attr:n~周末	quiet~a:attr:n~weekend
平静~v:mods:d~打开	calmly~v:mods:d~open
平静~v:mods:d~回答	calmly~v:mods:d~reply
平静~v:mods:d~忧郁	calm~a:attr:n~melancholy
平均~a:attr:n~持续期	average~a:attr:n~duration
平均~a:attr:n~尺寸	average~crds~size
平均~a:attr:n~大小	average~a:attr:n~size
平均~a:attr:n~功率	average~a:attr:n~power;the average efficiency
平均~a:attr:n~价格	average~a:attr:n~price;the average price
平均~a:attr:n~理解为	average~v:obj:n~interpret
平均~a:attr:n~马力	average~~horsepower
平均~a:attr:n~年龄	average~a:attr:n~age;the average age
平均~a:attr:n~时期	average~a:attr:n~period
平均~a:attr:n~寿命	average~a:attr:n~longevity;mean~a:attr:n~life;the average life span
平均~a:attr:n~水平	average~a:attr:n~level;the average level
平均~a:attr:n~速度	average~a:attr:n~velocity;the average speed
平均~a:attr:n~速率	average~a:attr:n~speed
平均~a:attr:n~推力	average~a:attr:n~push
平均~a:attr:n~位置	average~a:attr:n~position
平均~a:attr:n~温度	average~~temperature;the average temperature
平均~a:attr:n~薪俸	average~a:attr:n~salary
平均~a:attr:n~行为	average~a:attr:n~behaviour
平均~v:mods:d~长	average~~length
平均~v:mods:d~诞生	average~on~bear
平均~v:mods:d~分给	equally~~divide
平均~v:mods:d~分配	distribute evenly;evenly distribute;equally~v:mods:d~distribute
平均~v:mods:d~滑移	average~a:attr:n~slip
平均~v:mods:d~去	average~~go
平均~v:mods:d~去除	average~~remove
平均~v:mods:d~损失	average~v:obj:n~lose
平均~v:obj:n~加速度	average~~acceleration
平均~v:obj:n~寿命	mean~~life
平面~v:mods:d~玻璃	flat~a:attr:n~glass
平面~v:mods:d~地图	plane~v:mods:d~map
平面~v:mods:d~结构	plane~v:mods:d~structure
平面~v:mods:d~曲线	plane~v:mods:d~curve
平面~v:mods:d~形体	flat~a:attr:n~form
平平~v:mods:d~作画	peace~v:obj:n~draw
平平安安~v:mods:d~在	safe~~on
平生~v:mods:d~见	life~~see
平生~v:mods:d~觉得	life~v:obj:n~feel
平生~v:mods:d~看到	life~of~sight
平生~v:mods:d~遇到	strange~~meet
平坦~a:attr:n~大道	smoothness~~road
平坦~a:attr:n~道路	smooth~~road
平坦~a:attr:n~公路	smooth~~road
平坦~a:attr:n~平原	flat~a:attr:n~plain
平坦~a:attr:n~石子路	smooth~~road
平坦~a:attr:n~岩石	comfortable~a:attr:n~rock
平稳~a:attr:n~进步	steady~a:attr:n~progress
平稳~a:attr:n~声调	equal~a:attr:n~tone
平稳~a:attr:n~语调	level~a:attr:n~voice
平稳~v:mods:d~康复	smoothly~v:mods:d~convalescence
平稳~v:mods:d~连续	smoothly~v:mods:d~continuous
平息~a:attr:n~办法	calm~~way
平息~v:obj:n~怒气	stay~v:obj:n~wrath
平息~v:obj:n~十年	still~~decade
平息~v:obj:n~怨言	stifle~v:obj:n~complaint
平息~v:obj:n~争吵	smooth~v:obj:n~quarrel
平息下去~v:obj:n~风暴	calm~v:obj:n~storm
平心静气~v:mods:d~干起来	calmly~v:mods:d~work
平行~a:attr:n~边缘	parallel~~edge
平行~a:attr:n~赤道	parallel~~equator
平行~a:attr:n~方向作	parallel~~direction
平行~a:attr:n~沟槽	parallel~a:attr:n~groove
平行~a:attr:n~跑道	parallel~~runway
平行~a:attr:n~情况	action~~case
平行~a:attr:n~条	parallel~a:attr:n~strip
平行~a:attr:n~纤维	parallel~a:attr:n~fibre
平行~a:attr:n~直线	parallel~~straight
平行~v:mods:d~发展	parallel~a:attr:n~advance
平抑~v:obj:n~气氛	calm~v:obj:n~atmosphere
平庸~a:attr:n~容貌	plain~a:attr:n~face
平庸~a:attr:n~说教	mediocre~a:attr:n~sermon
平源~v:mods:d~河流	plain~v:mods:d~river
平展~a:attr:n~叶子	flat~a:attr:n~leaf
平整~a:attr:n~面庞	set~~face
平整~a:attr:n~行列	even~a:attr:n~row
平整~a:attr:n~牙齿	even~~tooth
平整成为~v:obj:n~梯田	level~~terrace
评~v:obj:n~论说	commentator~~mention
评定~v:obj:n~候选人	assess~~candidate
评定~v:obj:n~技术	rate~v:obj:n~technique
评定~v:obj:n~润滑剂	assess~~lubricant
评定~v:obj:n~完整性	assessment~v:mods:d~integrity
评分~a:attr:n~任务	grade~of~task
评估~v:obj:n~表现	assess~v:obj:n~performance
评价~a:attr:n~目的	appreciation~~objective
评价~a:attr:n~能力	estimate~~ability
评价~a:attr:n~文化	appreciation~~culture
评价~a:attr:n~文学	appraisal~~literary
评价~v:obj:n~安全性	evaluation~of~safety
评价~v:obj:n~废水	evaluate~~waste-water
评价~v:obj:n~关系	evaluate~~relationship
评价~v:obj:n~管理者	opinion~~manager
评价~v:obj:n~建议	evaluate~v:obj:n~proposal
评价~v:obj:n~经济	estimator~a:attr:n~econometric
评价~v:obj:n~抗虫性	evaluation~of~resistance
评价~v:obj:n~能力	evaluate~v:obj:n~ability
评价~v:obj:n~劝告	value~v:obj:n~advice
评价~v:obj:n~效果	evaluate~v:obj:n~effectiveness
评价~v:obj:n~运用	evaluate~~operation
评价~v:obj:n~政策	evaluate~~policy
评论~a:attr:n~基础	evaluation~v:obj:n~grounding
评论~a:attr:n~质量	remark~~quality
评论~v:obj:n~弹奏	remark~v:obj:n~play
评论~v:obj:n~工作	remark~~work
评论~v:obj:n~基础	evaluation~~grounding
评论~v:obj:n~社会制度	comment~~social
评论~v:obj:n~外貌	comment~on~appearance
评论~v:obj:n~戏剧	comment~v:obj:n~play
评论~v:obj:n~引证	comment~v:obj:n~citation
评述~a:attr:n~意义	review~~significance
评述~v:obj:n~领域	survey~v:obj:n~field
评述~v:obj:n~文章	review~~article
评议~v:obj:n~方法	review~v:mods:d~method
凭栏~v:mods:d~俯视	railing~tsub~gaze
苹果~v:mods:d~产区	apple~v:mods:d~section
苹果~v:mods:d~花	apple~v:mods:d~blossom
屏蔽~v:obj:n~辐射	block~v:obj:n~radiation
屏住~v:obj:n~呼吸	hold~v:obj:n~breath
屏住~v:obj:n~气	hold~v:obj:n~breath
屏住~v:obj:n~气息	take~v:obj:n~breath
瓶~v:mods:d~盖子	jar~of~lid
瓶~v:mods:d~啤酒	bottle~classifier~beer
泼~a:attr:n~妻子	shrewish~a:attr:n~wife
泼~v:obj:n~水	splash~locn~water
泼辣~a:attr:n~妻子	termagant~a:attr:n~wife
颇为~v:mods:d~不同	quite~intnsifs~different
颇为~v:mods:d~寒怆	very~intnsifs~shabby
颇为~v:mods:d~满意	quite~intnsifs~satisfy
颇为~v:mods:d~熟悉	change~~understand
迫切~a:attr:n~反抗	eager~a:attr:n~defiance
迫切~a:attr:n~需要	an/the urgent need;imperative~a:attr:n~need;urgent~a:attr:n~need
迫切~v:mods:d~讲话	urgency~with~speak
迫切~v:mods:d~盼望	all~lops~eagerness
迫切~v:mods:d~需要	insistent~~need
迫使~a:attr:n~飞机	force~~plane
迫使~a:attr:n~行动	drive~~action
迫使~v:obj:n~采取	force~v:obj:n~adopt
迫使~v:obj:n~承认	compel~v:obj:n~confess
迫使~v:obj:n~打开	make~v:obj:n~open
迫使~v:obj:n~道别	force~~leave
迫使~v:obj:n~店员	make~~assistant
迫使~v:obj:n~分开	force~~apart
迫使~v:obj:n~否决	compel~v:obj:n~veto
迫使~v:obj:n~改变	force~v:obj:n~change
迫使~v:obj:n~改善	force~v:obj:n~improve
迫使~v:obj:n~喝	compel~v:obj:n~drink
迫使~v:obj:n~减少	force~v:obj:n~curtail
迫使~v:obj:n~检查	force~v:obj:n~review
迫使~v:obj:n~决定	force~~decision
迫使~v:obj:n~落座	force~v:obj:n~seat
迫使~v:obj:n~让步	force~~concession
迫使~v:obj:n~绕	make~~detour
迫使~v:obj:n~挑战	cause~~challenge
迫使~v:obj:n~投降	force~v:obj:n~surrender
迫使~v:obj:n~外国	force~~foreign
破~a:attr:n~打击	napoleon~tsub~strike
破~a:attr:n~大衣	tear~~coat
破~a:attr:n~规矩	break~~rule
破~a:attr:n~上衣	ruin~~jacket
破~v:obj:n~戒条	break~~commandment
破~v:obj:n~上衣	ruin~of~jacket
破~v:obj:n~云	break~v:obj:n~cloud
破产~a:attr:n~讲话	smash~~talk
破产~a:attr:n~可能	bankruptcy~equiv~possibility
破产~a:attr:n~前景	bankruptcy~of~prospect
破产~v:obj:n~公司	bankruptcy~~firm
破除~v:obj:n~观念	break~v:obj:n~impression
破除~v:obj:n~迷信	explode~v:obj:n~superstition
破坏~a:attr:n~合同	sabotage~~contract
破坏~a:attr:n~目标	sabotage~for~target
破坏~a:attr:n~人	destroy~a:attr:n~man
破坏~a:attr:n~危险性	damage~of~risk
破坏~a:attr:n~小说	destroy~~fiction
破坏~a:attr:n~学生	break~a:attr:n~pupil
破坏~a:attr:n~一切	destroy~~everything
破坏~a:attr:n~友谊	wreck~~friendship
破坏~v:obj:n~半径	damage~~radius
破坏~v:obj:n~单位	damage~~unit
破坏~v:obj:n~公众	undermine~~public
破坏~v:obj:n~骨	destroy~v:obj:n~bone
